question,perception_of_support,value,proportion
N36A,Helpful,337,0.145008605851979
N36A,No Support,278,0.107835531419705
N36A,Inconclusive,132,0.151029748283753
N36A,Unhelpful,160,0.165460186142709
N36B,Helpful,86,0.0370051635111876
N36B,No Support,140,0.0543056633048875
N36B,Inconclusive,39,0.0446224256292906
N36B,Unhelpful,23,0.0237849017580145
N36C,Helpful,214,0.0920826161790017
N36C,No Support,210,0.0814584949573313
N36C,Inconclusive,78,0.0892448512585813
N36C,Unhelpful,84,0.0868665977249225
N36D,Helpful,41,0.0176419965576592
N36D,No Support,73,0.0283165244375485
N36D,Inconclusive,29,0.0331807780320366
N36D,Unhelpful,65,0.0672182006204757
N36E,Helpful,37,0.01592082616179
N36E,No Support,43,0.0166795965865012
N36E,Inconclusive,12,0.0137299771167048
N36E,Unhelpful,25,0.0258531540847983
N36F,Helpful,133,0.0572289156626506
N36F,No Support,179,0.069433669511249
N36F,Inconclusive,46,0.0526315789473684
N36F,Unhelpful,39,0.0403309203722854
N36G,Helpful,85,0.0365748709122203
N36G,No Support,93,0.0360744763382467
N36G,Inconclusive,42,0.0480549199084668
N36G,Unhelpful,57,0.0589451913133402
N36H,Helpful,48,0.0206540447504303
N36H,No Support,68,0.0263770364623739
N36H,Inconclusive,32,0.0366132723112128
N36H,Unhelpful,45,0.046535677352637
N36I,Helpful,168,0.072289156626506
N36I,No Support,72,0.0279286268425136
N36I,Inconclusive,59,0.0675057208237986
N36I,Unhelpful,67,0.0692864529472596
N36J,Helpful,92,0.0395869191049914
N36J,No Support,141,0.0546935608999224
N36J,Inconclusive,60,0.068649885583524
N36J,Unhelpful,90,0.093071354705274
N36K,Helpful,475,0.204388984509466
N36K,No Support,532,0.206361520558573
N36K,Inconclusive,149,0.170480549199085
N36K,Unhelpful,120,0.124095139607032
N36L,Helpful,310,0.133390705679862
N36L,No Support,447,0.173390224980605
N36L,Inconclusive,96,0.109839816933638
N36L,Unhelpful,86,0.0889348500517063
N36M,Helpful,27,0.011617900172117
N36M,No Support,10,0.00387897595034911
N36M,Inconclusive,7,0.0080091533180778
N36M,Unhelpful,9,0.0093071354705274
N36N,Helpful,76,0.0327022375215146
N36N,No Support,65,0.0252133436772692
N36N,Inconclusive,19,0.0217391304347826
N36N,Unhelpful,20,0.0206825232678387
N36O,Helpful,33,0.0141996557659208
N36O,No Support,6,0.00232738557020946
N36O,Inconclusive,6,0.0068649885583524
N36O,Unhelpful,4,0.00413650465356774
N36P,Helpful,115,0.0494836488812392
N36P,No Support,176,0.0682699767261443
N36P,Inconclusive,49,0.0560640732265446
N36P,Unhelpful,32,0.0330920372285419
N36Q,Helpful,47,0.020223752151463
N36Q,No Support,45,0.017455391776571
N36Q,Inconclusive,19,0.0217391304347826
N36Q,Unhelpful,41,0.0423991726990693
